Region,Name,Long,Lat,png
Chiang Mai,Hug Hostel,18.797343,98.986518,None
Pai,Circus Hostel,19.362269,98.448288,None
Mae Hong Son,Lod Cave,19.5683,98.279557,None
Mae Hong Son,Crossroad Restaurant,19.302232,97.965386,Mae_Hong_Son.png
Kanchanaburi,Elephant Haven,14.111748,99.146905,Elephant_Haven.png
Bangkok,Chinatown,13.740401,100.50977,None
Siem Reap,One Stop Hostel,13.35357,103.853283,None
Siem Reap,Angkor Wat,13.412442,103.866997,Angkor_Wat.png
Siem Reap,Kampong Phluk Floating Village,13.208812,103.97353,None
Ho Chi Minh,Long Hostel,10.766793,106.68957,Ho_Chi_Minh.png
Ho Chi Minh,Cu Chi Tunnels,11.142133,106.46237,None
Dalat,Mr. Peace Backpacker's House,11.943832,108.431429,Dalat.png
Hoi An,Seaside Bungalow,15.926159,108.320436,None
Hue,Dreamers Homestay,16.470743,107.595689,Hue_Selfie.png
Hue,Abandoned Water Park,16.407875,107.578556,None
Ha Giang,Jasmine Hostel,22.805345,104.975631,None
Ha Giang,Lung Khuy Cave,23.078859,105.019898,None
Yen Minh,Homestay bongbang,23.116983,105.138178,Yen_Minh.png
Yen Minh,Lung Cu Flag Point,23.363585,105.316737,None
Dong Van,Hostel,23.278384,105.361565,None
Ma Pi Leng,Ma Pi Leng Homestay,23.240737,105.411174,None
Du Gia,Du Gia Waterfall,22.925914,105.198512,None
Du Gia,Du Gia Homestay,22.929936,105.226641,None
Hanoi,Cocoon Inn,21.035526,105.850164,None
Hanoi,Train Street,21.01759,105.840918,Train_Street.png
Kyoto,Khaosan Kyoto Guesthouse,35.002201,135.766575,None
Kyoto,Golden Pavillion,35.039347,135.729241,None
Kyoto,Fushimi Inari Taisha,34.967123,135.772673,None
Nara,Nara Park,34.685219,135.843002,Nara.png
Seto,Seto Park Hotel,35.227801,137.102457,None
Nagoya,Nagoya Castle,35.185476,136.899214,None
Tokyo,Art n Shelter,35.604256,139.742111,None
Tokyo,Shibuya Crossing,35.659462,139.700577,Shibuya.png
